,0,1
0,6.963130950927734,2.1170694828033447
1,5.997384071350098,3.094038248062134
2,5.0445990562438965,3.9776246547698975
3,4.143401622772217,4.8827691078186035
4,3.3183116912841797,5.7720627784729
5,2.488694667816162,6.565406322479248
6,1.515811562538147,7.483492851257324
7,0.8940898776054382,8.136675834655762
8,1.6670886278152466,7.414283275604248
9,2.4823403358459473,6.552009105682373
10,3.2159173488616943,5.784212589263916
11,4.011671543121338,4.995316028594971
12,4.826564311981201,4.200231552124023
13,5.660333156585693,3.3860251903533936
14,6.488587379455566,2.531956195831299
15,7.377453327178955,1.607879877090454
16,8.257795333862305,0.8259150385856628
17,7.837834358215332,1.1293559074401855
18,6.963130950927734,2.1170694828033447
19,5.997384071350098,3.094038248062134
20,5.0445990562438965,3.9776246547698975
21,4.143401622772217,4.8827691078186035
22,3.3183116912841797,5.7720627784729
23,2.488694667816162,6.565406322479248
24,1.515811562538147,7.483492851257324
25,0.8940898776054382,8.136675834655762
26,1.6670886278152466,7.414283275604248
27,2.4823403358459473,6.552009105682373
28,3.2159173488616943,5.784212589263916
29,4.011671543121338,4.995316028594971
30,4.826564311981201,4.200231552124023
31,5.660333156585693,3.3860251903533936
32,6.488587379455566,2.531956195831299
33,7.377453327178955,1.607879877090454
34,8.257795333862305,0.8259150385856628
35,7.837834358215332,1.1293559074401855
36,6.963130950927734,2.1170694828033447
37,5.997384071350098,3.094038248062134
38,5.0445990562438965,3.9776246547698975
39,4.143401622772217,4.8827691078186035
40,3.3183116912841797,5.7720627784729
41,2.488694667816162,6.565406322479248
42,1.515811562538147,7.483492851257324
43,0.8940898776054382,8.136675834655762
44,1.6670886278152466,7.414283275604248
45,2.4823403358459473,6.552009105682373
46,3.2159173488616943,5.784212589263916
47,4.011671543121338,4.995316028594971
48,4.826564311981201,4.200231552124023
49,5.660333156585693,3.3860251903533936
50,6.488587379455566,2.531956195831299
51,7.377453327178955,1.607879877090454
52,8.257795333862305,0.8259150385856628
53,7.837834358215332,1.1293559074401855
54,6.963130950927734,2.1170694828033447
55,5.997384071350098,3.094038248062134
56,5.0445990562438965,3.9776246547698975
57,4.143401622772217,4.8827691078186035
58,3.3183116912841797,5.7720627784729
59,2.488694667816162,6.565406322479248
60,1.515811562538147,7.483492851257324
61,0.8940898776054382,8.136675834655762
62,1.6670886278152466,7.414283275604248
63,2.4823403358459473,6.552009105682373
64,3.2159173488616943,5.784212589263916
65,4.011671543121338,4.995316028594971
66,4.826564311981201,4.200231552124023
67,5.660333156585693,3.3860251903533936
68,6.488587379455566,2.531956195831299
69,7.377453327178955,1.607879877090454
70,8.257795333862305,0.8259150385856628
71,7.837834358215332,1.1293559074401855
72,6.963130950927734,2.1170694828033447
73,5.997384071350098,3.094038248062134
74,5.044598579406738,3.9776248931884766
75,4.143401622772217,4.8827691078186035
76,3.3183116912841797,5.7720627784729
77,2.488694429397583,6.565406322479248
78,1.5158114433288574,7.483492374420166
